Chrom	Position	Ref	Var	Cons:Cov:Reads1:Reads2:Freq:P-value	StrandFilter:R1+:R1-:R2+:R2-:pval	SamplesRef	SamplesHet	SamplesHom	SamplesNC	Cons:Cov:Reads1:Reads2:Freq:P-value
Puerto	118	C	+A	*/+A:12536:11445:698:5.55%:2.764E-193	Pass:1.0:11439:6:698:0:7.0098E-1	0	1	0	0	*/+A:12536:11445:698:5.55%:2.764E-193
Puerto	1296	C	+T	*/+T:15906:14265:1173:7.36%:0E0	Pass:10629:3636:694:479:1E0	0	1	0	0	*/+T:15906:14265:1173:7.36%:0E0
Puerto	2395	T	-G	*/-G:14089:13558:887:6.13%:1.7923E-247	Pass:11575:1983:429:458:1E0	0	1	0	0	*/-G:14089:13558:887:6.13%:1.7923E-247
Puerto	2631	C	-A	*/-A:2705:2529:194:7.12%:5.8436E-57	Pass:0.9845360824742269:2505:24:191:3:3.0154E-1	0	1	0	0	*/-A:2705:2529:194:7.12%:5.8436E-57
Puerto	3852	G	-A	*/-A:35712:33200:4438:11.79%:0E0	Pass:31583:1617:2396:2042:1E0	0	1	0	0	*/-A:35712:33200:4438:11.79%:0E0
Puerto	4741	A	-G	*/-G:19856:19292:934:4.61%:2.2711E-251	Pass:17864:1428:567:367:1E0	0	1	0	0	*/-G:19856:19292:934:4.61%:2.2711E-251
Puerto	5669	G	-AC	*/-AC:691:670:21:3.03%:4.0868E-7	Pass:1.0:662:8:21:0:7.8022E-1	0	1	0	0	*/-AC:691:670:21:3.03%:4.0868E-7
Puerto	5768	G	-C	*/-C:29830:27718:2039:6.83%:0E0	Pass:0.9990191270230505:26916:802:2037:2:1.3917E-22	0	1	0	0	*/-C:29830:27718:2039:6.83%:0E0
Puerto	6370	A	-G	*/-G:4213:4035:179:4.25%:5.9471E-49	Pass:0.00558659217877095:189:3846:1:178:2.122E-3	0	1	0	0	*/-G:4213:4035:179:4.25%:5.9471E-49
Puerto	7748	C	+A	*/+A:5606:5299:502:8.64%:9.8439E-147	Pass:5172:127:314:188:1E0	0	1	0	0	*/+A:5606:5299:502:8.64%:9.8439E-147
